new_10_Char,10 char .phy format name,Original fasta header,Name (existing or suggested),Major group,Species,Major taxon for the purposes of this study
AAAAAAABEA,575sp|P0C1,sp|P0C1Y9|3SE1_DENAN Fasciculin1 OS=Dendroaspis angusticeps OX=8618 PE=1 SV=1,Fasciculin1 ,3FTx,Dendroaspis angusticeps ,Elapidae
AAAAAAABEB,577sp|P183,sp|P18329|3SOA1_DENAN Toxin C13S1C1 OS=Dendroaspis angusticeps OX=8618 PE=1 SV=1,Toxin C13S1C1 ,3FTx,Dendroaspis angusticeps ,Elapidae
AAAAAAABEC,579sp|P014,sp|P01404|3SOB8_DENAN Toxin FVIII OS=Dendroaspis angusticeps OX=8618 PE=1 SV=2,Toxin FVIII ,3FTx,Dendroaspis angusticeps ,Elapidae
AAAAAAABLM,923sp|P602,sp|P60237|3SUB_DENAN Muscarinic toxin 2 OS=Dendroaspis angusticeps OX=8618 PE=1 SV=1,Muscarinic toxin 2 ,3FTx,Dendroaspis angusticeps ,Elapidae
AAAAAAAAAP,Dendroaspis_angusticeps_GILR01002482,Dendroaspis_angusticeps_GILR01002482,-,3FTx,Dendroaspis angusticeps ,Elapidae
AAAAAAAAAT,Dendroaspis_angusticeps_GILR01002080,Dendroaspis_angusticeps_GILR01002080,-,3FTx,Dendroaspis angusticeps ,Elapidae
AAAAAAAAAR,Dendroaspis_jamesoni_jamesoni_GHPA01000962,Dendroaspis_jamesoni_jamesoni_GHPA01000962,-,3FTx,Dendroaspis jamesoni jamesoni ,Elapidae
AAAAAAAAJW,1125sp|P01,sp|P01407|3SIY_DENJA Synergistictype venom protein S2C4 OS=Dendroaspis jamesoni kaimosae OX=8619 PE=1 SV=1,Synergistictype venom protein S2C4 ,3FTx,Dendroaspis jamesoni kaimosae ,Elapidae
AAAAAAABKH,867sp|P283,sp|P28375|3SPM_DENJA Dendroaspin OS=Dendroaspis jamesoni kaimosae OX=8619 PE=1 SV=1,Dendroaspin ,3FTx,Dendroaspis jamesoni kaimosae ,Elapidae
AAAAAAABKI,869sp|P014,sp|P01413|3SP1_DENJA Toxin S5C1 OS=Dendroaspis jamesoni kaimosae OX=8619 PE=1 SV=1,Toxin S5C1 ,3FTx,Dendroaspis jamesoni kaimosae ,Elapidae
AAAAAAAAHA,351sp|P256,sp|P25682|3NOJ6_DENJA Toxin S6C6 OS=Dendroaspis jamesoni kaimosae OX=8619 PE=1 SV=1,Toxin S6C6 ,3FTx,Dendroaspis jamesoni kaimosae ,Elapidae
AAAAAAABDU,563sp|P256,sp|P25683|3SL8_DENJA Toxin S4C8 OS=Dendroaspis jamesoni kaimosae OX=8619 PE=1 SV=1,Toxin S4C8 ,3FTx,Dendroaspis jamesoni kaimosae ,Elapidae
AAAAAAABEF,583sp|P014,sp|P01406|3SOB4_DENJA Toxin S5C4 OS=Dendroaspis jamesoni kaimosae OX=8619 PE=1 SV=1,Toxin S5C4 ,3FTx,Dendroaspis jamesoni kaimosae ,Elapidae
AAAAAAABHH,729sp|P013,sp|P01393|3L21_DENJA AlphaelapitoxinDjk2a OS=Dendroaspis jamesoni kaimosae OX=8619 PE=1 SV=1,AlphaelapitoxinDjk2a ,3FTx,Dendroaspis jamesoni kaimosae ,Elapidae
AAAAAAABMU,985sp|P014,sp|P01419|3S110_DENJA Toxin S5C10 OS=Dendroaspis jamesoni kaimosae OX=8619 PE=1 SV=1,Toxin S5C10 ,3FTx,Dendroaspis jamesoni kaimosae ,Elapidae
AAAAAAABMX,991sp|P014,sp|P01417|3S11_DENJA Short neurotoxin 1 OS=Dendroaspis jamesoni kaimosae OX=8619 PE=1 SV=1,Short neurotoxin 1 ,3FTx,Dendroaspis jamesoni kaimosae ,Elapidae
AAAAAAAAAS,Dendroaspis_jamesoni_kaimosae_P25682,Dendroaspis_jamesoni_kaimosae_P25682,-,3FTx,Dendroaspis jamesoni kaimosae ,Elapidae
AAAAAAAAAO,Dendroaspis_polylepis_T2720,Dendroaspis_polylepis_T2720,-,3FTx,Dendroaspis polylepis ,Elapidae
AAAAAAAAKJ,1149sp|P80,sp|P80494|3SIMA_DENPO Muscarinic toxin alpha OS=Dendroaspis polylepis polylepis OX=8620 PE=1 SV=1,Muscarinic toxin alpha ,3FTx,Dendroaspis polylepis polylepis ,Elapidae
AAAAAAAAKO,1159sp|P25,sp|P25518|3SI3_DENPO Adrenergic toxin rhoelapitoxinDp1b OS=Dendroaspis polylepis polylepis OX=8620 PE=1 SV=1,Adrenergic toxin rhoelapitoxinDp1b ,3FTx,Dendroaspis polylepis polylepis ,Elapidae
AAAAAAAAKR,1163sp|P80,sp|P80495|3SIMB_DENPO Adrenergic toxin rhoelapitoxinDp1a OS=Dendroaspis polylepis polylepis OX=8620 PE=1 SV=1,Adrenergic toxin rhoelapitoxinDp1a ,3FTx,Dendroaspis polylepis polylepis ,Elapidae
AAAAAAAAKT,1167sp|P0D,sp|P0DKR6|3SX1_DENPO Mambalgin1 OS=Dendroaspis polylepis polylepis OX=8620 PE=1 SV=1,Mambalgin1 ,3FTx,Dendroaspis polylepis polylepis ,Elapidae
AAAAAAAAKU,1169sp|P0D,sp|P0DKS3|3SX2_DENPO Mambalgin2 OS=Dendroaspis polylepis polylepis OX=8620 PE=1 SV=1,Mambalgin2 ,3FTx,Dendroaspis polylepis polylepis ,Elapidae
AAAAAAABDT,561sp|A0A4,sp|A0A4P1LYC9|3SX_DENPO Dendroaspis polylepis MT9 OS=Dendroaspis polylepis polylepis OX=8620 PE=1 SV=1,Dendroaspis polylepis MT9 ,3FTx,Dendroaspis polylepis polylepis ,Elapidae
AAAAAAABDW,567sp|P014,sp|P01414|3SL2_DENPO Toxin FS2 OS=Dendroaspis polylepis polylepis OX=8620 PE=1 SV=1,Toxin FS2 ,3FTx,Dendroaspis polylepis polylepis ,Elapidae
AAAAAAABDX,569sp|P229,sp|P22947|3SLS_DENPO Calciseptin OS=Dendroaspis polylepis polylepis OX=8620 PE=1 SV=1,Calciseptin ,3FTx,Dendroaspis polylepis polylepis ,Elapidae
AAAAAAABDY,571sp|P256,sp|P25681|3SEC_DENPO Acetylcholinesterase toxin C OS=Dendroaspis polylepis polylepis OX=8620 PE=1 SV=1,Acetylcholinesterase toxin C ,3FTx,Dendroaspis polylepis polylepis ,Elapidae
AAAAAAABHD,721sp|P256,sp|P25667|3L23_DENPO AlphaelapitoxinDpp2b OS=Dendroaspis polylepis polylepis OX=8620 PE=1 SV=1,AlphaelapitoxinDpp2b ,3FTx,Dendroaspis polylepis polylepis ,Elapidae
AAAAAAABHE,723sp|P013,sp|P01397|3L22_DENPO AlphaelapitoxinDpp2c OS=Dendroaspis polylepis polylepis OX=8620 PE=1 SV=2,AlphaelapitoxinDpp2c ,3FTx,Dendroaspis polylepis polylepis ,Elapidae
AAAAAAABHF,725sp|C0HJ,sp|C0HJD7|3L24_DENPO AlphaelapitoxinDpp2d OS=Dendroaspis polylepis polylepis OX=8620 PE=1 SV=1,AlphaelapitoxinDpp2d ,3FTx,Dendroaspis polylepis polylepis ,Elapidae
AAAAAAABHG,727sp|P013,sp|P01396|3L21_DENPO AlphaelapitoxinDpp2a OS=Dendroaspis polylepis polylepis OX=8620 PE=1 SV=1,AlphaelapitoxinDpp2a ,3FTx,Dendroaspis polylepis polylepis ,Elapidae
AAAAAAABMV,987sp|P014,sp|P01416|3S11_DENPO Short neurotoxin 1 OS=Dendroaspis polylepis polylepis OX=8620 PE=1 SV=1,Short neurotoxin 1 ,3FTx,Dendroaspis polylepis polylepis ,Elapidae
AAAAAAABEE,581sp|P014,sp|P01405|3SOB6_DENVI Toxin 4.9.6 OS=Dendroaspis viridis OX=8621 PE=1 SV=1,Toxin 4.9.6 ,3FTx,Dendroaspis viridis ,Elapidae
AAAAAAABHI,731sp|P013,sp|P01394|3L21_DENVI AlphaelapitoxinDv2b OS=Dendroaspis viridis OX=8621 PE=1 SV=1,AlphaelapitoxinDv2b ,3FTx,Dendroaspis viridis ,Elapidae
AAAAAAABHJ,733sp|P013,sp|P01395|3L22_DENVI AlphaelapitoxinDv2a OS=Dendroaspis viridis OX=8621 PE=1 SV=1,AlphaelapitoxinDv2a ,3FTx,Dendroaspis viridis ,Elapidae
AAAAAAABMW,989sp|P014,sp|P01418|3S11_DENVI Short neurotoxin 1 OS=Dendroaspis viridis OX=8621 PE=1 SV=1,Short neurotoxin 1 ,3FTx,Dendroaspis viridis ,Elapidae
AAAAAAAAAQ,Dendroaspis_viridis_GHPC01002050,Dendroaspis_viridis_GHPC01002050,-,3FTx,Dendroaspis viridis ,Elapidae
AAAAAAAAAW,Dendroaspis_viridis_GHPC01002196,Dendroaspis_viridis_GHPC01002196,-,3FTx,Dendroaspis viridis ,Elapidae
AAAAAAAAZH,343sp|A7X6,sp|A7X6J0|3NX4_DISTY Toxin 3FTxDis4 OS=Dispholidus typus OX=46295 PE=1 SV=1,Toxin 3FTxDis4 ,3FTx,Dispholidus typus ,Colubridae
AAAAAAAABK,Dispholidus_typus_A7X6J0,Dispholidus_typus_A7X6J0,-,3FTx,Dispholidus typus ,Colubridae
AAAAAAAABO,Dispholidus_typus_A7X3Q4,Dispholidus_typus_A7X3Q4,-,3FTx,Dispholidus typus ,Colubridae
AAAAAAAADS,Dispholidus_typus_A7X3U0,Dispholidus_typus_A7X3U0,-,3FTx,Dispholidus typus ,Colubridae
AAAAAAAADX,Dispholidus_typus_A7X3T2,Dispholidus_typus_A7X3T2,-,3FTx,Dispholidus typus ,Colubridae
AAAAAAABJD,813sp|F8J2,sp|F8J2E6|3L231_DRYCN Long neurotoxin 31 OS=Drysdalia coronoides OX=66186 PE=1 SV=1,Long neurotoxin 31 ,3FTx,Drysdalia coronoides ,Elapidae
AAAAAAABJE,815sp|F8J2,sp|F8J2F2|3L220_DRYCN Long neurotoxin 20 OS=Drysdalia coronoides OX=66186 PE=1 SV=1,Long neurotoxin 20 ,3FTx,Drysdalia coronoides ,Elapidae
AAAAAAABJJ,823sp|F8J2,sp|F8J2E5|3L246_DRYCN Long neurotoxin 469 OS=Drysdalia coronoides OX=66186 PE=1 SV=1,Long neurotoxin 469 ,3FTx,Drysdalia coronoides ,Elapidae
AAAAAAABJK,825sp|F8J2,sp|F8J2E1|3L273_DRYCN Long neurotoxin 73 OS=Drysdalia coronoides OX=66186 PE=1 SV=1,Long neurotoxin 73 ,3FTx,Drysdalia coronoides ,Elapidae
AAAAAAABJP,835sp|F8J2,sp|F8J2B3|3L213_DRYCN Long neurotoxin 13 OS=Drysdalia coronoides OX=66186 PE=1 SV=1,Long neurotoxin 13 ,3FTx,Drysdalia coronoides ,Elapidae
AAAAAAABJQ,837sp|F8J2,sp|F8J2D7|3L243_DRYCN Long neurotoxin 43 OS=Drysdalia coronoides OX=66186 PE=1 SV=1,Long neurotoxin 43 ,3FTx,Drysdalia coronoides ,Elapidae
AAAAAAABJW,847sp|F8J2,sp|F8J2E2|3L277_DRYCN Long neurotoxin 77 OS=Drysdalia coronoides OX=66186 PE=1 SV=1,Long neurotoxin 77 ,3FTx,Drysdalia coronoides ,Elapidae
AAAAAAABLU,939sp|F8J2,sp|F8J2G5|3S134_DRYCN Short neurotoxin 342 OS=Drysdalia coronoides OX=66186 PE=1 SV=1,Short neurotoxin 342 ,3FTx,Drysdalia coronoides ,Elapidae
AAAAAAABMN,973sp|F8J2,sp|F8J2G3|3S12A_DRYCN Short neurotoxin 2 OS=Drysdalia coronoides OX=66186 PE=1 SV=1,Short neurotoxin 2 ,3FTx,Drysdalia coronoides ,Elapidae
AAAAAAAAAB,Erythrolamprus_poecilogyrus_A7X3M9,Erythrolamprus_poecilogyrus_A7X3M9,-,3FTx,Erythrolamprus poecilogyrus,Colubridae
AAAAAAAAHD,357sp|A7X3,sp|A7X3M9|3NX1_ERYPO Probable weak neurotoxin 3FTxLio1 OS=Erythrolamprus poecilogyrus OX=338838 PE=3 SV=1,Probable weak neurotoxin 3FTxLio1 ,3FTx,Erythrolamprus poecilogyrus ,Colubridae
AAAAAAAABV,Erythrolamprus_poecilogyrus_A7X3P2,Erythrolamprus_poecilogyrus_A7X3P2,-,3FTx,Erythrolamprus poecilogyrus ,Colubridae
AAAAAAAABW,Erythrolamprus_poecilogyrus_A7X3P8,Erythrolamprus_poecilogyrus_A7X3P8,-,3FTx,Erythrolamprus poecilogyrus ,Colubridae
AAAAAAAALA,117Gaga_8_,"Gaga_8 Gallus gallus isolate RJF #256 breed Red Jungle fowl, inbred line UCD001 chromosome 2, Gallus_gallus5.0, whole genome shotgun sequence",-,Ly-6,Gallus gallus,Galliformes
AAAAAAAANP,129Gaga_1_,"Gaga_1 Gallus gallus isolate RJF #256 breed Red Jungle fowl, inbred line UCD001 chromosome 2, Gallus_gallus5.0, whole genome shotgun sequence",-,Ly-6,Gallus gallus,Galliformes
AAAAAAAAVP,169Gaga_2_,"Gaga_2 Gallus gallus isolate RJF #256 breed Red Jungle fowl, inbred line UCD001 chromosome 2, Gallus_gallus5.0, whole genome shotgun sequence",-,Ly-6,Gallus gallus,Galliformes
AAAAAAAAVU,179Gaga_3_,"Gaga_3 Gallus gallus isolate RJF #256 breed Red Jungle fowl, inbred line UCD001 chromosome 2, Gallus_gallus5.0, whole genome shotgun sequence",-,Ly-6,Gallus gallus,Galliformes
AAAAAAABAH,39Gaga_5_G,"Gaga_5 Gallus gallus isolate RJF #256 breed Red Jungle fowl, inbred line UCD001 chromosome 2, Gallus_gallus5.0, whole genome shotgun sequence",-,Ly-6,Gallus gallus,Galliformes
AAAAAAABHN,73Gaga_7_G,"Gaga_7 Gallus gallus isolate RJF #256 breed Red Jungle fowl, inbred line UCD001 chromosome 2, Gallus_gallus5.0, whole genome shotgun sequence",-,Ly-6,Gallus gallus,Galliformes
AAAAAAABHY,75Gaga_6_G,"Gaga_6 Gallus gallus isolate RJF #256 breed Red Jungle fowl, inbred line UCD001 chromosome 2, Gallus_gallus5.0, whole genome shotgun sequence",-,Ly-6,Gallus gallus,Galliformes
AAAAAAABMG,95Gaga_4_G,"Gaga_4 Gallus gallus isolate RJF #256 breed Red Jungle fowl, inbred line UCD001 chromosome 2, Gallus_gallus5.0, whole genome shotgun sequence",-,Ly-6,Gallus gallus,Galliformes
AAAAAAAABX,Helicops_leopardinus_unigene312780,Helicops_leopardinus_unigene312780,-,3FTx,Helicops leopardinus ,Colubridae
AAAAAAAABY,Helicops_leopardinus_unigene57119,Helicops_leopardinus_unigene57119,-,3FTx,Helicops leopardinus ,Colubridae
AAAAAAAABZ,Helicops_leopardinus_unigene312792,Helicops_leopardinus_unigene312792,-,3FTx,Helicops leopardinus ,Colubridae
AAAAAAAACA,Helicops_leopardinus_unigene1409,Helicops_leopardinus_unigene1409,-,3FTx,Helicops leopardinus ,Colubridae
AAAAAAAACB,Helicops_leopardinus_unigene488904,Helicops_leopardinus_unigene488904,-,3FTx,Helicops leopardinus ,Colubridae
AAAAAAAACE,Helicops_leopardinus_unigene490899,Helicops_leopardinus_unigene490899,-,3FTx,Helicops leopardinus ,Colubridae
AAAAAAAACF,Helicops_leopardinus_unigene488093,Helicops_leopardinus_unigene488093,-,3FTx,Helicops leopardinus ,Colubridae
AAAAAAAACG,Helicops_leopardinus_unigene312779,Helicops_leopardinus_unigene312779,-,3FTx,Helicops leopardinus ,Colubridae
AAAAAAAACH,Helicops_leopardinus_unigene312798,Helicops_leopardinus_unigene312798,-,3FTx,Helicops leopardinus ,Colubridae
AAAAAAAACI,Helicops_leopardinus_unigene312793,Helicops_leopardinus_unigene312793,-,3FTx,Helicops leopardinus ,Colubridae
AAAAAAAALI,1195sp|P01,sp|P01402|3SOK1_HEMHA Weak toxin CM1b OS=Hemachatus haemachatus OX=8626 PE=1 SV=1,Weak toxin CM1b ,3FTx,Hemachatus haemachatus ,Elapidae
AAAAAAAAIH,1051sp|P01,sp|P01433|3S12_HEMHA Short neurotoxin 2 OS=Hemachatus haemachatus OX=8626 PE=1 SV=1,Short neurotoxin 2 ,3FTx,Hemachatus haemachatus ,Elapidae
AAAAAAAAIW,1079sp|P01,sp|P01425|3S11_HEMHA Short neurotoxin 1 OS=Hemachatus haemachatus OX=8626 PE=1 SV=1,Short neurotoxin 1 ,3FTx,Hemachatus haemachatus ,Elapidae
AAAAAAAALH,1193sp|P0D,sp|P0DQH2|3SOKA_HEMHA Exactin OS=Hemachatus haemachatus OX=8626 PE=1 SV=1,Exactin ,3FTx,Hemachatus haemachatus ,Elapidae
AAAAAAAAZT,375sp|P247,sp|P24778|3SOE_HEMHA Cytotoxin homolog OS=Hemachatus haemachatus OX=8626 PE=1 SV=1,Cytotoxin homolog ,3FTx,Hemachatus haemachatus ,Elapidae
AAAAAAABAO,411sp|P247,sp|P24777|3SB3_HEMHA Cytotoxin 3 OS=Hemachatus haemachatus OX=8626 PE=1 SV=1,Cytotoxin 3 ,3FTx,Hemachatus haemachatus ,Elapidae
AAAAAAABAP,413sp|B3EW,sp|B3EWH9|3SBH_HEMHA Threefinger hemachatoxin OS=Hemachatus haemachatus OX=8626 PE=1 SV=1,Threefinger hemachatoxin ,3FTx,Hemachatus haemachatus ,Elapidae
AAAAAAABAQ,415sp|P014,sp|P01471|3SB1_HEMHA Cytotoxin 1 OS=Hemachatus haemachatus OX=8626 PE=1 SV=1,Cytotoxin 1 ,3FTx,Hemachatus haemachatus ,Elapidae
AAAAAAABAR,417sp|P247,sp|P24776|3SB2_HEMHA Cytotoxin 2 OS=Hemachatus haemachatus OX=8626 PE=1 SV=1,Cytotoxin 2 ,3FTx,Hemachatus haemachatus ,Elapidae
AAAAAAABEN,599sp|C0HJ,sp|C0HJT5|3SO1_HEMHA Ringhalexin OS=Hemachatus haemachatus OX=8626 PE=1 SV=1,Ringhalexin ,3FTx,Hemachatus haemachatus ,Elapidae
AAAAAAABKT,889sp|P256,sp|P25676|3SO61_HEMHA Weak toxin CM1c OS=Hemachatus haemachatus OX=8626 PE=1 SV=1,Weak toxin CM1c ,3FTx,Hemachatus haemachatus ,Elapidae
AAAAAAAAAI,Heterodon_nasicus_unigene14895,Heterodon_nasicus_unigene14895,-,3FTx,Heterodon nasicus,Colubridae
AAAAAAAAAJ,Heterodon_nasicus_unigene617783,Heterodon_nasicus_unigene617783,-,3FTx,Heterodon nasicus,Colubridae
AAAAAAAABT,Heterodon_nasicus_unigene2480,Heterodon_nasicus_unigene2480,-,3FTx,Heterodon nasicus ,Colubridae
AAAAAAAABU,Heterodon_nasicus_unigene384518,Heterodon_nasicus_unigene384518,-,3FTx,Heterodon nasicus ,Colubridae
AAAAAAAALM,11Hosa_2_H,"Hosa_2 Homo sapiens chromosome 8, GRCh38.p12 Primary Assembly",LY6K,Ly-6,Homo sapiens,Placentalia
AAAAAAAAMT,125Hosa_1_,"Hosa_1 Homo sapiens chromosome 8, GRCh38.p12 Primary Assembly",PSCA (prostate stem cell antigen),Ly-6,Homo sapiens,Placentalia
AAAAAAAAPW,13Hosa_13_,"Hosa_13 Homo sapiens chromosome 8, GRCh38.p12 Primary Assembly",LY6L,Ly-6,Homo sapiens,Placentalia
AAAAAAAAVO,167Hosa_3_,"Hosa_3 Homo sapiens chromosome 8, GRCh38.p12 Primary Assembly",SLURP1 (secreted Ly-6/uPAR-related protein 1),Ly-6,Homo sapiens,Placentalia
AAAAAAAAVY,185Hosa_4_,"Hosa_4 Homo sapiens chromosome 8, GRCh38.p12 Primary Assembly",LYPD2,Ly-6,Homo sapiens,Placentalia
AAAAAAAAWT,221Hosa_14,"Hosa_14 Homo sapiens chromosome 8, GRCh38.p12 Primary Assembly",LY6H,Ly-6,Homo sapiens,Placentalia
AAAAAAAAWW,227Hosa_7_,"Hosa_7 Homo sapiens chromosome 8, GRCh38.p12 Primary Assembly",LY6D,Ly-6,Homo sapiens,Placentalia
AAAAAAAAYD,287Hosa_6_,"Hosa_6 Homo sapiens chromosome 8, GRCh38.p12 Primary Assembly",LYNX1 (ly-6/neurotoxin-like protein 1),Ly-6,Homo sapiens,Placentalia
AAAAAAAAYL,301Hosa_5_,"Hosa_5 Homo sapiens chromosome 8, GRCh38.p12 Primary Assembly",LYNX1-SLURP2,Ly-6,Homo sapiens,Placentalia
AAAAAAABDH,53Hosa_11_,"Hosa_11 Homo sapiens chromosome 8, GRCh38.p12 Primary Assembly",LY6E,Ly-6,Homo sapiens,Placentalia
AAAAAAABIJ,5Hosa_15_H,"Hosa_15 Homo sapiens chromosome 8, GRCh38.p12 Primary Assembly",GPIHBP1 (glycosylphosphatidylinositol-anchored high density lipoprotein-binding protein 1),Ly-6,Homo sapiens,Placentalia
AAAAAAABMS,981sp|A8HD,sp|A8HDJ9|3S11_HOPST Short neurotoxin 1 OS=Hoplocephalus stephensii OX=196418 PE=3 SV=1,Short neurotoxin 1 ,3FTx,Hoplocephalus stephensii ,Elapidae
AAAAAAABMM,971sp|P254,sp|P25494|3S11_HYDCY Short neurotoxin 1 OS=Hydrophis cyanocinctus OX=8686 PE=1 SV=1,Short neurotoxin 1 ,3FTx,Hydrophis cyanocinctus ,Elapidae
AAAAAAABGW,709sp|Q8UW,sp|Q8UW29|3L21_HYDHA Long neurotoxin 1 OS=Hydrophis hardwickii OX=8781 PE=3 SV=1,Long neurotoxin 1 ,3FTx,Hydrophis hardwickii ,Elapidae
AAAAAAABGX,711sp|A3FM,sp|A3FM53|3L22_HYDHA Long neurotoxin 2 OS=Hydrophis hardwickii OX=8781 PE=3 SV=1,Long neurotoxin 2 ,3FTx,Hydrophis hardwickii ,Elapidae
AAAAAAABGY,713sp|Q8UW,sp|Q8UW28|3L23_HYDHA AlphaelapitoxinLh2a OS=Hydrophis hardwickii OX=8781 PE=3 SV=1,AlphaelapitoxinLh2a ,3FTx,Hydrophis hardwickii ,Elapidae
AAAAAAABMI,963sp|P684,sp|P68416|3S11_HYDHA Short neurotoxin 1 OS=Hydrophis hardwickii OX=8781 PE=1 SV=2,Short neurotoxin 1 ,3FTx,Hydrophis hardwickii ,Elapidae
AAAAAAABMK,967sp|Q8UW,sp|Q8UW26|3S12_HYDHA Short neurotoxin 2 OS=Hydrophis hardwickii OX=8781 PE=3 SV=1,Short neurotoxin 2 ,3FTx,Hydrophis hardwickii ,Elapidae
AAAAAAABML,969sp|Q8UW,sp|Q8UW27|3S116_HYDHA Short neurotoxin SN160 OS=Hydrophis hardwickii OX=8781 PE=3 SV=1,Short neurotoxin SN160 ,3FTx,Hydrophis hardwickii ,Elapidae
AAAAAAABMH,961sp|P014,sp|P01437|3S11_HYDLA Short neurotoxin 1 OS=Hydrophis lapemoides OX=8684 PE=1 SV=1,Short neurotoxin 1 ,3FTx,Hydrophis lapemoides ,Elapidae
AAAAAAABMF,959sp|Q5UF,sp|Q5UFR8|3S11_HYDPR Short neurotoxin 1 OS=Hydrophis peronii OX=8676 PE=1 SV=1,Short neurotoxin 1 ,3FTx,Hydrophis peronii ,Elapidae
AAAAAAABMJ,965sp|P623,sp|P62389|3S15_HYDSC Toxin 5 OS=Hydrophis schistosus OX=8682 PE=1 SV=1,Toxin 5 ,3FTx,Hydrophis schistosus ,Elapidae
AAAAAAABGZ,715sp|P013,sp|P01380|3L21_HYDST AlphaelapitoxinAst2a OS=Hydrophis stokesii OX=355677 PE=1 SV=1,AlphaelapitoxinAst2a ,3FTx,Hydrophis stokesii ,Elapidae
AAAAAAABHA,717sp|P013,sp|P01381|3L22_HYDST AlphaelapitoxinAst2b OS=Hydrophis stokesii OX=355677 PE=1 SV=1,AlphaelapitoxinAst2b ,3FTx,Hydrophis stokesii ,Elapidae
AAAAAAAABN,Hypsiglena_sp_A0A098M253,Hypsiglena_sp_A0A098M253,-,3FTx,Hypsiglena sp ,Colubridae
AAAAAAAAHG,1001sp|P10,sp|P10456|3S1D_LATCO Short neurotoxin D OS=Laticauda colubrina OX=8628 PE=1 SV=2,Short neurotoxin D ,3FTx,Laticauda colubrina ,Elapidae
AAAAAAAAHH,1003sp|P10,sp|P10457|3S12_LATCO Short neurotoxin II OS=Laticauda colubrina OX=8628 PE=1 SV=2,Short neurotoxin II ,3FTx,Laticauda colubrina ,Elapidae
AAAAAAAAHI,1005sp|P10,sp|P10455|3S1C_LATCO Short neurotoxin C OS=Laticauda colubrina OX=8628 PE=3 SV=2,Short neurotoxin C ,3FTx,Laticauda colubrina ,Elapidae
AAAAAAABGM,691sp|P0C8,sp|P0C8R6|3L21_LATCO AlphaelapitoxinLc2c OS=Laticauda colubrina OX=8628 PE=1 SV=1,AlphaelapitoxinLc2c ,3FTx,Laticauda colubrina ,Elapidae
AAAAAAABGN,693sp|P0C8,sp|P0C8R7|3L2A_LATCO Toxin Lc a OS=Laticauda colubrina OX=8628 PE=1 SV=1,Toxin Lc a ,3FTx,Laticauda colubrina ,Elapidae
AAAAAAABGO,695sp|P0C8,sp|P0C8R8|3L2B_LATCO Toxin Lc b OS=Laticauda colubrina OX=8628 PE=1 SV=1,Toxin Lc b ,3FTx,Laticauda colubrina ,Elapidae
AAAAAAABNB,999sp|Q9YG,sp|Q9YGC7|3S15_LATCO Short neurotoxin NCA02/NCA05/UER05 OS=Laticauda colubrina OX=8628 PE=3 SV=1,Short neurotoxin NCA02/NCA05/UER05 ,3FTx,Laticauda colubrina ,Elapidae
AAAAAAAAHK,1009sp|P10,sp|P10458|3S1C_LATCR Short neurotoxin C OS=Laticauda crockeri OX=8629 PE=1 SV=1,Short neurotoxin C ,3FTx,Laticauda crockeri ,Elapidae
AAAAAAAAHP,1019sp|P25,sp|P25496|3S1B_LATCR Short neurotoxin B OS=Laticauda crockeri OX=8629 PE=1 SV=1,Short neurotoxin B ,3FTx,Laticauda crockeri ,Elapidae
AAAAAAAAHR,1021sp|P25,sp|P25495|3S1A_LATCR Short neurotoxin A OS=Laticauda crockeri OX=8629 PE=1 SV=1,Short neurotoxin A ,3FTx,Laticauda crockeri ,Elapidae
AAAAAAAAHL,1011sp|P10,sp|P10460|3S1C_LATLA Short neurotoxin C OS=Laticauda laticaudata OX=8630 PE=1 SV=1,Short neurotoxin C ,3FTx,Laticauda laticaudata ,Elapidae
AAAAAAAAHM,1013sp|Q9Y,sp|Q9YGW9|3S12_LATLA Short neurotoxin VAN10 OS=Laticauda laticaudata OX=8630 PE=3 SV=1,Short neurotoxin VAN10 ,3FTx,Laticauda laticaudata ,Elapidae
AAAAAAAAHN,1015sp|Q9Y,sp|Q9YGW8|3S14_LATLA Short neurotoxin VAN29 OS=Laticauda laticaudata OX=8630 PE=3 SV=1,Short neurotoxin VAN29 ,3FTx,Laticauda laticaudata ,Elapidae
AAAAAAAAHO,1017sp|P10,sp|P10459|3S1B_LATLA Short neurotoxin B OS=Laticauda laticaudata OX=8630 PE=1 SV=2,Short neurotoxin B ,3FTx,Laticauda laticaudata ,Elapidae
AAAAAAAAHS,1023sp|Q9Y,sp|Q9YGC2|3S11_LATLA Short neurotoxin OKI17/NCA06 OS=Laticauda laticaudata OX=8630 PE=3 SV=1,Short neurotoxin OKI17/NCA06 ,3FTx,Laticauda laticaudata ,Elapidae
AAAAAAAAHT,1025sp|Q9Y,sp|Q9YGC4|3S13_LATLA Short neurotoxin OKI01/OKI19 OS=Laticauda laticaudata OX=8630 PE=3 SV=1,Short neurotoxin OKI01/OKI19 ,3FTx,Laticauda laticaudata ,Elapidae
AAAAAAAAHJ,1007sp|Q9Y,sp|Q9YGX1|3S1ED_LATSE Short neurotoxin OKIEd OS=Laticauda semifasciata OX=8631 PE=3 SV=1,Short neurotoxin OKIEd ,3FTx,Laticauda semifasciata ,Elapidae
AAAAAAABGL,689sp|P013,sp|P01379|3L21_LATSE AlphaelapitoxinLs2a OS=Laticauda semifasciata OX=8631 PE=1 SV=2,AlphaelapitoxinLs2a ,3FTx,Laticauda semifasciata ,Elapidae
